代码,名称,信号日期,策略类型,信号价,当前总涨跌,平均表现,首次盈利天数,首次亏损天数,持仓天数,走势流,风险预警
000719,中原传媒,20260205,C_New_Strategy (最高共振),13.44,-15.48%,-2.18%,3,1,95,--++----++--------------+-----------++++++++++++++++-+++++++++++++-------+---------------------,深度套牢 | 冲高回落
000937,冀中能源,20260205,A_Strong_Pullback (中风险接力),5.67,-24.69%,-3.86%,8,1,95,-------+-+++++++++++++++-++++++++--------------+--++-+-+-----------------++++------------------,深度套牢 | 冲高回落
600463,空港股份,20260205,B_Low_Position_Start (低风险埋伏),11.73,-31.20%,-13.51%,1,11,95,++++++++++-------------------------------------------------------------------------------------,深度套牢 | 冲高回落
600601,方正科技,20260602,A_Strong_Pullback (中风险接力),13.43,12.58%,-0.84%,9,1,22,--------+++++--+--++++,正常
000791,甘肃能源,20260602,E_Leader_Restart (二次启动),9.84,-21.24%,-14.03%,1,2,22,+---------------------,深度套牢 | 冲高回落
002587,奥拓电子,20260701,A_Strong_Pullback (中风险接力),7.33,-7.64%,-4.77%,从未,1,2,--,正常
600058,五矿发展,20260701,E_Leader_Restart (二次启动),11.88,-9.51%,-7.28%,从未,1,2,--,正常
002698,博实股份,20251231,A_Strong_Pullback (中风险接力),17.05,-19.41%,-15.35%,6,1,118,-----++++++-++++------------------------------------------------------------------------------------------------------,深度套牢 | 冲高回落
002403,爱仕达,20251231,B_Low_Position_Start (低风险埋伏),12.9,-16.98%,-13.64%,6,1,119,-----+++--+++++--------------------------------------------------------------------------------------------------------,深度套牢
002361,神剑股份,20251231,E_Leader_Restart (二次启动),13.04,8.97%,19.62%,1,12,119,+++++++++++------------++++++-+++++------++----------++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++,正常
002201,九鼎新材,20251231,E_Leader_Restart (二次启动),11.94,-13.65%,3.90%,6,1,119,-----+-++-+++++++++++++++++++++++++++++++++--------------------++-+++++++++++++++++++++--++----------------+++++++-----,深度套牢 | 冲高回落
002363,隆基机械,20251231,E_Leader_Restart (二次启动),10.8,-41.30%,-23.31%,从未,1,119,-----------------------------------------------------------------------------------------------------------------------,长期未回正 | 深度套牢
002202,金风科技,20251231,E_Leader_Restart (二次启动),20.2,21.73%,29.02%,1,从未,119,+++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++,正常
600736,苏州高新,20251231,E_Leader_Restart (二次启动),6.75,-1.48%,5.46%,1,36,119,+++++++++++++++++++++++++++++++++++----------------------------------+++++++++++++++++++++++++++++++++++++++++++++-----,冲高回落
000987,越秀资本,20251231,E_Leader_Restart (二次启动),8.12,0.12%,10.67%,1,58,118,+++++++++++++++++++++++++++++++++++++++++++++++++++++++++--++++++++++++++++++++++++++++++++---------++------++++---+-+,正常
600354,敦煌种业,20251210,A_Strong_Pullback (中风险接力),6.73,-25.71%,-6.41%,2,1,110,-++++++++++++++++++--+++++++++++++++++++----++----------------------------------------------------------------,深度套牢 | 冲高回落
603023,威帝股份,20251210,E_Leader_Restart (二次启动),5.1,-25.10%,-6.40%,1,12,110,+++++++++++---++++---++++----++++------------+++-------------------------+----+-------------------------------,深度套牢 | 冲高回落
002752,昇兴股份,20251210,E_Leader_Restart (二次启动),8.55,-31.11%,-21.51%,12,1,134,-----------+--------------------------------------------------------------------------------------------------------------------------,深度套牢
603709,中源家居,20251210,E_Leader_Restart (二次启动),19.7,-28.32%,-11.89%,1,5,133,++++-----------------------------------------------------------------------------------------+-+-------------------------------------,深度套牢 | 冲高回落
600732,爱旭股份,20260210,A_Strong_Pullback (中风险接力),15.04,-11.17%,-6.74%,11,1,92,----------+++++++------++-+--------+++++++++++---+------------------------------------------,深度套牢 | 冲高回落
600510,黑牡丹,20260210,A_Strong_Pullback (中风险接力),9.66,-24.12%,-7.69%,4,1,92,---+++++----------------------------------+++++++++++++--+----------------------------------,深度套牢 | 冲高回落
002921,联诚精密,20260210,E_Leader_Restart (二次启动),24.82,20.67%,5.85%,8,1,92,-------++++++++++++++------------++++++++--++++++++++++++++++++++++++++++----------+++++++++,正常
002634,棒杰股份,20260210,E_Leader_Restart (二次启动),6.66,-30.18%,-10.10%,1,19,91,++++++++++++++++++------+++++++++++++++----------------------------------------------------,深度套牢 | 冲高回落
600860,京城股份,20260210,E_Leader_Restart (二次启动),13.77,-36.75%,-18.62%,4,1,92,---+++++-++++++++++-------------------------------------------------------------------------,深度套牢 | 冲高回落
601222,林洋能源,20260210,D_Strong_Breakout (高风险追涨/优化),6.25,-12.64%,-0.72%,2,3,92,-+----+---++++++++++++-+++++------------+---+------+-+-+---+++++++++++-+--------------------,深度套牢 | 冲高回落
603703,盛洋科技,20251222,E_Leader_Restart (二次启动),14.75,-25.08%,-7.16%,9,1,126,--------++++++++++++++++++--++--+-----++++------------------------------------------------------------------------------------,深度套牢 | 冲高回落
603123,翠微股份,20251222,E_Leader_Restart (二次启动),13.98,-41.06%,-16.74%,30,1,110,-----------------------------+--------------------------------------------------------------------------------,深度套牢
002355,兴民智通,20251222,E_Leader_Restart (二次启动),6.43,-31.73%,-3.29%,1,8,110,+++++++------+++++++++++++++++++++++++++++++++++--------------------++++++++++--------------------------------,深度套牢 | 冲高回落
603221,爱丽家居,20251222,E_Leader_Restart (二次启动),13.55,-20.96%,-9.28%,8,1,126,-------++++----+-++-++--------------------------------------------------------------------------------------------------------,深度套牢 | 冲高回落
000533,顺钠股份,20260209,E_Leader_Restart (二次启动),11.25,-15.91%,17.95%,1,2,93,+-+++++++-++++++++++++-+++++++++++++++++++++++++++++++++++++++++++++++++++-------------------,深度套牢 | 冲高回落
600481,双良节能,20260209,E_Leader_Restart (二次启动),10.51,-55.57%,-37.66%,3,1,93,--+------------------------------------------------------------------------------------------,深度套牢
002584,西陇科学,20260122,E_Leader_Restart (二次启动),9.95,0.00%,-15.49%,97,1,105,------------------------------------------------------------------------------------------------+++---++-,正常
603916,苏博特,20260122,E_Leader_Restart (二次启动),12.06,9.37%,4.63%,1,10,105,+++++++++-+++++++++++-----------------------------------------++-++++++++++++++++++++++++++++++++++++++++,正常
600589,大位科技,20260223,E_Leader_Restart (二次启动),13.19,-27.22%,-16.01%,53,1,89,----------------------------------------------------+----+-------------------------------,深度套牢
001330,博纳影业,20260223,E_Leader_Restart (二次启动),12.77,-57.01%,-39.10%,从未,1,89,-----------------------------------------------------------------------------------------,长期未回正 | 深度套牢
000735,罗 牛 山,20251203,C_New_Strategy (最高共振),9.68,-47.93%,-25.49%,5,1,138,----++++++--+++++-------------------------------------------------------------------------------------------------------------------------,深度套牢 | 冲高回落
603718,海利生物,20251203,B_Low_Position_Start (低风险埋伏),7.04,-57.39%,-38.40%,从未,1,110,--------------------------------------------------------------------------------------------------------------,长期未回正 | 深度套牢
002019,亿帆医药,20251203,B_Low_Position_Start (低风险埋伏),12.86,-22.01%,-8.24%,1,2,113,+----+--------------------+++++++++++++++++----++-++-+++---------------------------------------------------------,深度套牢 | 冲高回落
003018,金富科技,20251203,E_Leader_Restart (二次启动),22.35,196.55%,63.26%,45,1,138,--------------------------------------------+-++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++,正常
000411,英特集团,20251203,E_Leader_Restart (二次启动),12.93,-26.22%,-12.15%,1,8,110,+++++++--------------------------------+----------------------------------------------------------------------,深度套牢 | 冲高回落
000026,飞亚达,20260418,E_Leader_Restart (二次启动),16.2,35.12%,26.16%,1,34,51,+++++++++++++++++++++++++++++++++--++++++++++++++++,正常
002729,好利科技,20260520,E_Leader_Restart (二次启动),21.07,-15.52%,-10.91%,从未,1,28,----------------------------,长期未回正 | 深度套牢
603677,奇精机械,20260520,E_Leader_Restart (二次启动),17.17,-20.50%,-11.38%,1,6,31,+++++--+-+---------------------,深度套牢 | 冲高回落
600028,中国石化,20260305,C_New_Strategy (最高共振),7.11,-33.90%,-24.24%,从未,1,81,---------------------------------------------------------------------------------,长期未回正 | 深度套牢
000993,闽东电力,20260305,E_Leader_Restart (二次启动),14.0,-27.43%,-6.62%,1,8,81,+++++++-+++-++++++++------------------------+---+-----+++++++--------------------,深度套牢 | 冲高回落
000819,岳阳兴长,20260305,D_Strong_Breakout (高风险追涨/优化),17.48,-31.81%,-14.85%,从未,1,81,---------------------------------------------------------------------------------,长期未回正 | 深度套牢
002802,洪汇新材,20260421,E_Leader_Restart (二次启动),15.69,-30.27%,-16.95%,从未,1,49,-------------------------------------------------,长期未回正 | 深度套牢
605388,均瑶健康,20260421,E_Leader_Restart (二次启动),8.31,-39.11%,-26.66%,从未,1,49,-------------------------------------------------,长期未回正 | 深度套牢
603567,珍宝岛,20260505,B_Low_Position_Start (低风险埋伏),7.08,-32.34%,-10.20%,1,20,42,+++++++++++++++++++-----------------------,深度套牢 | 冲高回落
002584,西陇科学,20260121,C_New_Strategy (最高共振),10.1,-1.49%,-16.61%,99,1,106,--------------------------------------------------------------------------------------------------++----+-,冲高回落
600539,狮头股份,20260121,C_New_Strategy (最高共振),11.54,45.84%,23.10%,19,1,106,------------------+++----++++++++++--+++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++,正常
603012,创力集团,20260510,C_New_Strategy (最高共振),9.55,-7.64%,-8.90%,1,4,39,+++------+++++-------------------------,冲高回落
603758,秦安股份,20260510,B_Low_Position_Start (低风险埋伏),13.44,-23.88%,-19.32%,从未,1,39,---------------------------------------,长期未回正 | 深度套牢
002367,康力电梯,20260624,B_Low_Position_Start (低风险埋伏),5.98,17.22%,14.93%,1,从未,7,+++++++,正常
002068,黑猫股份,20260624,E_Leader_Restart (二次启动),11.5,23.48%,28.01%,1,从未,7,+++++++,正常
603679,华体科技,20260624,E_Leader_Restart (二次启动),20.76,-1.59%,-1.80%,1,2,7,+------,正常
003013,地铁设计,20260624,D_Strong_Breakout (高风险追涨/优化),16.98,-15.49%,-12.88%,从未,1,7,-------,长期未回正 | 深度套牢
603065,宿迁联盛,20260227,C_New_Strategy (最高共振),9.65,94.82%,4.62%,15,1,85,--------------+----------------------------------------------------++++++++++++++++++,正常
002207,准油股份,20260227,E_Leader_Restart (二次启动),11.59,-41.33%,-23.83%,1,10,85,+++++++++----------------------------------------------------------------------------,深度套牢 | 冲高回落
002828,贝肯能源,20260227,E_Leader_Restart (二次启动),13.8,-24.49%,-15.68%,1,7,85,++++++-+++++-------------+-----------------------------------------------------------,深度套牢 | 冲高回落
000554,泰山石油,20260227,E_Leader_Restart (二次启动),8.83,-33.30%,-11.76%,1,15,85,++++++++++++++-----------------------------------------------------------------------,深度套牢 | 冲高回落
605033,美邦股份,20260227,E_Leader_Restart (二次启动),29.45,-38.54%,-26.95%,从未,1,85,-------------------------------------------------------------------------------------,长期未回正 | 深度套牢
605006,山东玻纤,20260227,E_Leader_Restart (二次启动),10.69,71.38%,32.78%,36,1,85,-----------------------------------++--++++++++++++++++++++++++++++++++++++++++++++++,正常
601390,中国中铁,20260227,E_Leader_Restart (二次启动),6.19,-30.86%,-17.76%,1,2,85,+------------------------------------------------------------------------------------,深度套牢
000968,蓝焰控股,20260227,E_Leader_Restart (二次启动),8.55,-26.90%,0.73%,1,45,85,++++++++++++++++++++++++++++++++++++++++++++-------+---------------------------------,深度套牢 | 冲高回落
600409,三友化工,20260227,E_Leader_Restart (二次启动),8.8,-28.41%,-18.85%,8,1,85,-------++----------------------------------------------------------------------------,深度套牢
600026,中远海能,20260227,E_Leader_Restart (二次启动),20.15,-13.80%,7.46%,1,60,85,+++++++++++++++++++++++++++++++++++++++++++++++++++++++++++----------------++++------,深度套牢 | 冲高回落
002587,奥拓电子,20260627,A_Strong_Pullback (中风险接力),7.33,-7.64%,-0.68%,2,1,5,-++--,冲高回落
600058,五矿发展,20260627,E_Leader_Restart (二次启动),11.88,-9.51%,-5.29%,从未,1,5,-----,长期未回正
000600,建投能源,20260317,E_Leader_Restart (二次启动),10.19,-11.58%,-2.74%,6,1,73,-----++---------------------------------+---++++++++++++--++++-----------,深度套牢 | 冲高回落
600579,中化装备,20260620,E_Leader_Restart (二次启动),7.37,7.33%,5.50%,1,3,10,++-+++++++,正常
600601,方正科技,20260530,A_Strong_Pullback (中风险接力),13.43,12.58%,-1.31%,11,1,24,----------+++++--+--++++,正常
000791,甘肃能源,20260530,E_Leader_Restart (二次启动),9.84,-21.24%,-12.85%,2,1,24,-++---------------------,深度套牢 | 冲高回落
